subNum	 trialNo	 variability	 targPresent	 response	  accuracy
21	 18	 6.00	 0	 r	 1
21	 19	 1.70	 0	 r	 1
21	 20	 1.70	 1	 r	 0
21	 21	 6.00	 0	 r	 1
21	 22	 1.70	 0	 l	 0
21	 23	 1.70	 1	 r	 0
21	 24	 6.00	 1	 l	 1
21	 25	 6.00	 1	 l	 1
21	 26	 1.70	 1	 l	 1
21	 27	 1.70	 1	 l	 1
21	 28	 1.70	 0	 l	 0
21	 29	 6.00	 0	 r	 1
21	 30	 1.70	 1	 l	 1
21	 31	 6.00	 1	 l	 1
21	 32	 1.70	 1	 r	 0
21	 33	 6.00	 0	 r	 1
21	 34	 6.00	 1	 l	 1
21	 35	 6.00	 0	 r	 1
21	 36	 1.70	 0	 r	 1
21	 37	 6.00	 0	 r	 1
21	 38	 1.70	 0	 l	 0
21	 39	 1.70	 0	 l	 0
21	 40	 1.70	 1	 l	 1
21	 41	 1.70	 1	 r	 0
21	 42	 6.00	 0	 r	 1
21	 43	 1.70	 1	 l	 1
21	 44	 6.00	 0	 r	 1
21	 45	 1.70	 0	 l	 0
21	 46	 6.00	 0	 r	 1
21	 47	 1.70	 0	 l	 0
21	 48	 6.00	 0	 r	 1
21	 49	 6.00	 0	 r	 1
21	 50	 1.70	 1	 l	 1
21	 51	 1.70	 0	 r	 1
21	 52	 1.70	 1	 l	 1
21	 53	 6.00	 1	 l	 1
21	 54	 1.70	 1	 l	 1
21	 55	 6.00	 1	 l	 1
21	 56	 6.00	 0	 l	 0
21	 57	 1.70	 1	 l	 1
21	 58	 6.00	 1	 l	 1
21	 59	 6.00	 1	 l	 1
21	 60	 6.00	 0	 r	 1
21	 61	 6.00	 1	 l	 1
21	 62	 1.70	 1	 l	 1
21	 63	 1.70	 0	 r	 1
21	 64	 1.70	 0	 r	 1
21	 65	 1.70	 0	 r	 1
21	 66	 6.00	 1	 l	 1
21	 67	 6.00	 0	 r	 1
21	 68	 6.00	 1	 l	 1
21	 69	 1.70	 1	 l	 1
21	 70	 6.00	 0	 r	 1
21	 71	 6.00	 1	 l	 1
21	 72	 6.00	 1	 l	 1
21	 73	 6.00	 1	 l	 1
21	 74	 1.70	 1	 l	 1
21	 75	 1.70	 1	 l	 1
21	 76	 6.00	 1	 l	 1
21	 77	 6.00	 0	 r	 1
21	 78	 1.70	 0	 r	 1
21	 79	 1.70	 1	 l	 1
