subNum,trialNo,easySide,targPresent,targSide,RT,accuracy,block_no
7,19,R,1,right,1763,1,1
7,20,L,1,right,2284,1,1
7,21,L,0,,5124,1,1
7,22,L,1,right,3915,1,1
7,23,R,0,,5765,1,1
7,24,R,1,right,1654,1,1
7,25,L,1,left,1594,1,1
7,26,L,0,,4865,1,1
7,27,L,0,,4765,1,1
7,28,L,0,,3495,1,1
7,29,L,1,left,1894,1,1
7,30,R,0,,6614,1,1
7,31,L,1,left,1624,1,1
7,32,R,1,left,2165,1,1
7,33,L,0,,7375,1,1
7,34,R,1,left,2834,1,1
7,35,R,0,,7094,1,1
7,36,R,1,left,1819,1,1
7,37,R,1,right,1904,1,1
7,38,R,0,,8005,1,1
7,39,R,0,,6186,1,1
7,40,L,0,,5785,1,1
7,41,L,0,,8636,1,1
7,42,R,0,,5825,1,1
7,43,R,0,,5914,1,1
7,44,L,0,,4076,1,1
7,45,L,1,right,3065,1,1
7,46,L,0,,5335,1,1
7,47,L,0,,3873,1,1
7,48,R,1,left,7999,0,1
7,49,L,1,left,1835,1,1
7,50,R,0,,9916,1,1
7,51,L,0,,7205,1,1
7,52,R,0,,7771,1,1
7,53,R,0,,7963,1,1
7,54,R,1,right,1764,1,1
7,55,L,1,right,2384,1,1
7,56,R,1,right,1704,1,1
7,57,R,0,,7935,1,1
7,58,L,0,,5325,1,1
7,59,L,0,,4973,1,1
7,60,L,0,,4784,1,1
7,61,L,1,left,1743,1,1
7,62,R,0,,6295,1,1
7,63,L,0,,6655,1,1
7,64,R,1,left,2195,1,1
7,65,L,0,,6673,1,1
7,66,R,1,left,2736,1,1
7,67,R,1,left,5376,0,1
7,68,L,1,left,1614,1,1
7,69,R,0,,12474,1,1
7,70,L,1,left,1883,1,1
7,71,L,0,,6164,1,1
7,72,L,0,,6655,0,1
7,73,L,1,right,1875,1,1
7,74,L,1,right,2404,1,1
7,75,L,0,,5044,1,1
7,76,R,0,,5224,1,1
7,77,R,1,right,2197,1,1
7,78,L,1,right,3144,1,1
7,79,L,1,right,2124,1,1
7,80,L,0,,3914,1,1
7,81,R,0,,5344,1,1
7,82,L,0,,4016,1,1
7,83,R,0,,3374,1,1
7,84,L,0,,3224,1,1
7,85,R,1,left,4210,0,1
7,86,R,1,left,2365,1,1
7,87,L,0,,6914,1,1
7,88,L,0,,3325,1,1
7,89,R,0,,5707,1,1
7,90,L,1,left,1648,1,1
7,91,L,1,left,1644,1,1
7,92,R,0,,4934,1,1
7,93,R,1,left,1894,1,1
7,94,R,0,,5495,1,1
7,95,R,1,left,3842,1,1
7,96,L,0,,5744,1,1
7,97,R,1,right,1825,1,1
7,98,R,1,right,1623,1,1
7,99,R,0,,6903,1,1
7,100,R,0,,5762,1,1
7,101,L,1,right,1901,1,1
7,102,R,1,right,1664,1,1
7,103,L,1,left,2095,1,1
7,104,L,1,left,1565,1,1
7,105,L,0,,5829,1,1
7,106,L,1,right,2334,1,1
7,107,L,1,left,1694,1,1
7,108,R,1,left,1874,1,1
7,109,L,0,,5024,1,1
7,110,R,1,left,2345,1,1
7,111,L,0,,4739,1,1
7,112,L,0,,3695,1,1
7,113,L,1,left,1947,1,1
7,114,L,1,right,2255,1,1
7,115,R,1,right,1555,1,1
7,116,R,1,left,2485,1,1
7,117,R,1,left,1705,1,1
7,118,R,1,right,1693,1,1
7,119,L,0,,4708,1,1
7,120,L,1,left,1715,1,1
7,121,R,1,right,1710,1,1
7,122,R,0,,2701,1,1
7,123,R,0,,2985,1,1
7,124,R,1,right,1614,1,1
7,125,R,1,left,3334,0,1
7,126,R,0,,5399,1,1
7,127,R,1,left,2739,1,1
7,128,R,0,,4034,1,1
7,129,L,0,,4914,1,1
7,130,L,1,left,1850,1,1
7,131,L,0,,4645,1,1
7,132,L,1,right,4948,1,1
7,133,L,1,right,1815,1,1
7,134,R,0,,4020,1,1
7,135,L,1,left,1693,1,1
7,136,R,0,,3739,1,1
7,137,L,0,,5405,1,1
7,138,L,1,right,2064,1,1
7,139,R,0,,5791,1,1
7,140,L,0,,4234,1,1
7,141,L,1,left,1605,1,1
7,142,R,0,,2905,1,1
7,143,R,0,,2648,1,1
7,144,L,0,,2940,1,1
7,145,R,0,,2293,1,1
7,146,R,1,right,1695,1,1
7,147,L,1,right,2864,1,1
7,148,R,1,right,1584,1,1
7,149,R,0,,3804,1,1
7,150,L,1,right,1745,1,1
7,151,R,0,,3574,1,1
7,152,R,1,left,2729,0,1
7,153,R,0,,4975,1,1
7,154,L,1,right,4404,1,1
