expName,subjectId,subjectGender,subjectAge,session,block,blockType,trial,setSize,targetOri,targetPos,distrMean,dtype,dsd,targetDist,t_dist_to_prev_d,answer,rt,correct,prev_correct,blockId,tid
set_size_experiment_1,1,f,27,2,362,prime,2,24,-112,23,-52,norm,15,60,-0.860507654999992,i,2780.02208471,1,1,363,906
set_size_experiment_1,1,f,27,2,363,probe,0,36,-85,34,-165,norm,10,-80,-32.738239376,i,505.023411475,1,1,364,907
set_size_experiment_1,1,f,27,2,364,prime,0,36,54,29,129,norm,15,75.0000000004,38.440074247,j,747.455906123,0,1,365,908
set_size_experiment_1,1,f,27,2,364,prime,1,36,57,13,129,norm,15,72.0000000004,41.440074247,j,987.823782489,1,0,365,909
set_size_experiment_1,1,f,27,2,364,prime,2,36,11,5,129,norm,15,-61.9999999996,-4.55992575300002,j,2011.57495473,1,1,365,910
set_size_experiment_1,1,f,27,2,364,prime,3,36,29,2,129,norm,15,-79.9999999996,13.440074247,j,1581.84077777,0,1,365,911
set_size_experiment_1,1,f,27,2,365,probe,0,36,135,12,44,norm,10,88.9999999997,6.6401392809,i,660.206608474,1,0,366,912
set_size_experiment_1,1,f,27,2,366,prime,0,14,67,5,127,uni,15,60.0000000002,22.188295629,j,785.92824284,0,1,367,913
set_size_experiment_1,1,f,27,2,366,prime,1,14,50,1,127,uni,15,77.0000000002,5.18829562900001,i,1166.77315161,1,0,367,914
set_size_experiment_1,1,f,27,2,366,prime,2,14,42,5,127,uni,15,85.0000000002,-2.81170437099999,j,917.262574658,1,1,367,915
set_size_experiment_1,1,f,27,2,366,prime,3,14,19,11,127,uni,15,-71.9999999998,-25.811704371,j,1495.00763416,1,1,367,916
set_size_experiment_1,1,f,27,2,367,probe,0,36,163,17,65,norm,10,81.9999999997,36.2890591851,i,520.083422773,1,1,368,917
set_size_experiment_1,1,f,27,2,367,probe,1,36,163,4,77,norm,10,-86.0000000003,36.2890591851,i,536.593050696,1,1,368,918
set_size_experiment_1,1,f,27,2,368,prime,0,8,27,0,121,uni,15,-86,-50.102270037,i,2058.21345281,1,1,369,919
set_size_experiment_1,1,f,27,2,368,prime,1,8,29,5,121,uni,15,-88,-48.102270037,j,1704.33318056,0,1,369,920
set_size_experiment_1,1,f,27,2,368,prime,2,8,43,6,121,uni,15,78,-34.102270037,j,1494.96686459,0,0,369,921
set_size_experiment_1,1,f,27,2,368,prime,3,8,52,3,121,uni,15,69,-25.102270037,j,986.477243714,1,0,369,922
set_size_experiment_1,1,f,27,2,369,probe,0,36,85,5,-5,norm,10,-90,-36.162831154,i,480.294161476,1,1,370,923
set_size_experiment_1,1,f,27,2,369,probe,1,36,85,11,15,norm,10,-70,-36.162831154,i,476.313389838,1,1,370,924
set_size_experiment_1,1,f,27,2,370,prime,0,14,-157,9,-73,norm,15,84,8.25202039100003,j,645.009287633,1,1,371,925
set_size_experiment_1,1,f,27,2,370,prime,1,14,-138,5,-73,norm,15,65,27.252020391,j,927.77450569,1,1,371,926
set_size_experiment_1,1,f,27,2,370,prime,2,14,-143,0,-73,norm,15,70,22.252020391,j,506.077257916,1,1,371,927
set_size_experiment_1,1,f,27,2,370,prime,3,14,-138,8,-73,norm,15,65,27.252020391,j,688.202397898,1,1,371,928
set_size_experiment_1,1,f,27,2,371,probe,0,36,16,17,-89,norm,10,75,88.882193972,i,513.234186918,1,1,372,929
set_size_experiment_1,1,f,27,2,371,probe,1,36,16,32,-89,norm,10,75,88.882193972,i,475.90377368,1,1,372,930
set_size_experiment_1,1,f,27,2,372,prime,0,24,-132,23,-41,norm,15,-89,-42.58548161,j,627.894659527,1,1,373,931
set_size_experiment_1,1,f,27,2,372,prime,1,24,-120,6,-41,norm,15,79,-30.58548161,i,831.631354988,1,1,373,932
