expName,subjectId,subjectGender,subjectAge,session,block,trial,targetOri,targetPos,distrMean,dtype,dsd,targetDist,t_dist_to_prev_d,answer,correctAnswer,rt,correct,prev_correct,blockId,tid,d_ori_0,d_ori_1,d_ori_2,d_ori_3,d_ori_4,d_ori_5,d_ori_6,d_ori_7,d_ori_8,d_ori_9,d_ori_10,d_ori_11,d_ori_12,d_ori_13,d_ori_14,d_ori_15,d_ori_16,d_ori_17,d_ori_18,d_ori_19,d_ori_20,d_ori_21,d_ori_22,d_ori_23,d_ori_24,d_ori_25,d_ori_26,d_ori_27,d_ori_28,d_ori_29,d_ori_30,d_ori_31,d_ori_32,d_ori_33,d_ori_34,d_ori_35
distr_stats,1,F,26,1,10,3,177,35,74,norm,10,-77,43,i,i,561.165516637,1,1,11,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,10,4,177,27,74,norm,10,-77,43,i,i,576.889499951,1,1,11,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,10,5,177,18,74,norm,10,-77,43,j,j,545.753014205,1,1,11,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,10,6,177,27,74,norm,10,-77,43,i,i,592.594294615,1,1,11,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,11,0,61,10,174,norm,15,67,-13,i,i,655.285400184,1,1,12,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,11,1,61,12,174,norm,15,67,-13,i,j,811.514928572,0,1,12,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,11,2,61,2,174,norm,15,67,-13,j,j,514.273810239,1,0,12,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,11,3,61,25,174,norm,15,67,-13,j,j,780.134345344,1,1,12,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,11,4,61,32,174,norm,15,67,-13,j,j,780.053574514,1,1,12,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,11,5,61,5,174,norm,15,67,-13,i,i,686.509796723,1,1,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,12,0,3,27,74,norm,10,-71,9,i,i,1264.4924716,1,1,13,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,12,1,3,21,74,norm,10,-71,9,i,i,624.027535069,1,1,13,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,12,2,3,20,74,norm,10,-71,9,j,j,639.366406633,1,1,13,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,12,3,3,25,74,norm,10,-71,9,j,j,576.79534169,1,1,13,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,12,4,3,8,74,norm,10,-71,9,j,j,607.928703702,1,1,13,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,12,5,3,31,74,norm,10,-71,9,j,j,670.357415635,1,1,13,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,13,0,96,29,174,norm,15,-78,22,i,i,608.23125963,1,1,14,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,13,1,96,10,174,norm,15,-78,22,i,i,576.679317293,1,1,14,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,13,2,96,22,174,norm,15,-78,22,i,i,530.051343275,1,1,14,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,13,3,96,34,174,norm,15,-78,22,i,i,576.888161208,1,1,14,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,13,4,96,29,174,norm,15,-78,22,i,i,858.116127729,1,1,14,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,13,5,96,17,174,norm,15,-78,22,i,i,577.006863091,1,1,14,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,14,0,81,32,14,norm,5,67,87,j,j,638.984864866,1,1,15,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,14,1,81,1,14,norm,5,67,87,j,j,529.911221503,1,1,15,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,14,2,81,22,14,norm,5,67,87,i,i,530.260633438,1,1,15,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,14,3,81,33,14,norm,5,67,87,i,i,561.169086619,1,1,15,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,14,4,81,11,14,norm,5,67,87,i,i,576.951528379,1,1,15,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,14,5,81,34,14,norm,5,67,87,i,i,592.490318905,1,1,15,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,15,0,113,23,14,norm,15,-81,-81,i,i,639.840767919,1,1,16,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,15,1,113,17,14,norm,15,-81,-81,i,i,764.467481733,1,1,16,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,15,2,113,35,14,norm,15,-81,-81,i,i,530.24099854,1,1,16,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,15,3,113,15,14,norm,15,-81,-81,i,i,698.917713514,1,1,16,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,15,4,113,30,14,norm,15,-81,-81,j,j,608.05231431,1,1,16,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,15,5,113,14,14,norm,15,-81,-81,j,j,654.942235717,1,1,16,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,15,6,113,24,14,norm,15,-81,-81,j,j,623.823599878,1,1,16,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,16,0,108,4,174,norm,10,-66,-86,i,i,733.01282139,1,1,17,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,16,1,108,34,174,norm,10,-66,-86,i,i,514.319327503,1,1,17,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,16,2,108,8,174,norm,10,-66,-86,j,j,530.037509597,1,1,17,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,16,3,108,23,174,norm,10,-66,-86,i,i,574.645320359,1,1,17,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,16,4,108,13,174,norm,10,-66,-86,j,j,608.04071187,1,1,17,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,16,5,108,20,174,norm,10,-66,-86,j,j,686.682048329,1,1,17,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,17,0,113,7,34,norm,5,79,-61,j,j,529.717996257,1,1,18,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,17,1,113,33,34,norm,5,79,-61,i,i,545.440640828,1,1,18,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,17,2,113,7,34,norm,5,79,-61,j,j,574.135259259,1,1,18,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,17,3,113,7,34,norm,5,79,-61,j,j,686.52006042,1,1,18,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,17,4,113,29,34,norm,5,79,-61,i,i,467.053665548,1,1,18,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,17,5,113,29,34,norm,5,79,-61,i,i,514.253282846,1,1,18,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,17,6,113,25,34,norm,5,79,-61,j,j,514.382248426,1,1,18,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,18,0,139,15,74,norm,15,65,-75,i,i,1248.92556747,1,1,19,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,18,1,139,13,74,norm,15,65,-75,j,j,607.742172171,1,1,19,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,18,2,139,30,74,norm,15,65,-75,j,j,1920.60686809,1,1,19,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,18,3,139,8,74,norm,15,65,-75,j,j,1092.45417284,1,1,19,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,18,4,139,30,74,norm,15,65,-75,j,j,670.975468674,1,1,19,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,18,5,139,5,74,norm,15,65,-75,i,i,842.440339164,1,1,19,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,18,6,139,21,74,norm,15,65,-75,i,i,623.961490412,1,1,19,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,19,0,143,25,34,norm,5,-71,69,j,j,686.574948885,1,1,20,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,19,1,143,25,34,norm,5,-71,69,j,j,467.465552158,1,1,20,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,19,2,143,19,34,norm,5,-71,69,j,j,545.396462307,1,1,20,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,19,3,143,30,34,norm,5,-71,69,j,j,654.986860485,1,1,20,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,19,4,143,31,34,norm,5,-71,69,j,j,764.411700773,1,1,20,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,20,0,103,18,174,norm,15,-71,69,j,j,530.42574508,1,1,21,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,20,1,103,7,174,norm,15,-71,69,i,j,717.818087827,0,1,21,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,20,2,103,4,174,norm,15,-71,69,j,i,451.887045589,0,0,21,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,20,3,103,29,174,norm,15,-71,69,i,i,467.81362535,1,0,21,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,20,4,103,15,174,norm,15,-71,69,i,i,826.697613448,1,1,21,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,21,0,163,10,54,norm,5,-71,-11,i,i,592.791982338,1,1,22,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,21,1,163,19,54,norm,5,-71,-11,j,j,655.334041182,1,1,22,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,21,2,163,5,54,norm,5,-71,-11,i,i,576.944834663,1,1,22,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,21,3,163,10,54,norm,5,-71,-11,i,i,639.541781972,1,1,22,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,21,4,163,5,54,norm,5,-71,-11,i,i,530.195481276,1,1,22,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,22,0,15,15,114,norm,15,81,-39,i,i,717.616383875,1,1,23,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,22,1,15,10,114,norm,15,81,-39,i,i,608.513734413,1,1,23,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,22,2,15,19,114,norm,15,81,-39,j,j,623.972646604,1,1,23,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,22,3,15,24,114,norm,15,81,-39,j,j,576.841751449,1,1,23,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,22,4,15,23,114,norm,15,81,-39,i,i,592.793321081,1,1,23,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,22,5,15,22,114,norm,15,81,-39,i,i,623.749969011,1,1,23,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,23,0,142,24,74,norm,10,68,28,j,j,561.630506721,1,1,24,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,23,1,142,28,74,norm,10,68,28,i,i,561.593021916,1,1,24,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,23,2,142,21,74,norm,10,68,28,i,i,733.027101316,1,1,24,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,23,3,142,18,74,norm,10,68,28,j,j,592.496566372,1,1,24,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distr_stats,1,F,26,1,23,4,142,27,74,norm,10,68,28,i,i,561.747869862,1,1,24,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
