trial_id,is_target,color,shape
2388,1,red,T
2390,1,red,T
2391,1,red,T
2393,1,red,T
2395,1,red,T
2396,1,red,T
2397,1,red,T
2398,1,red,T
2400,1,red,T
2401,1,red,T
2405,1,red,T
2410,1,red,T
2411,1,red,T
2413,1,red,T
2415,1,red,T
2417,1,red,T
2418,1,red,T
2420,1,red,T
2423,1,red,T
2424,1,red,T
2427,1,red,T
2428,1,red,T
2429,1,red,T
2430,1,red,T
2431,1,red,T
2435,1,red,T
2436,1,red,T
2437,1,red,T
2438,1,red,T
2439,1,red,T
2440,1,red,T
2441,1,red,T
2443,1,red,T
2444,1,red,T
2445,1,red,T
2451,1,red,T
2453,1,red,T
2455,1,red,T
2457,1,red,T
2460,1,red,T
2463,1,red,T
2464,1,red,T
2465,1,red,T
2467,1,red,T
2468,1,red,T
2472,1,red,T
2477,1,red,T
2478,1,red,T
2480,1,red,T
2482,1,red,T
2487,1,red,T
2490,1,red,T
2491,1,red,T
2493,1,red,T
2495,1,red,T
2499,1,red,T
2500,1,red,T
2501,1,red,T
2502,1,red,T
2503,1,red,T
2504,1,red,T
2505,1,red,T
2507,1,red,T
2508,1,red,T
2510,1,red,T
2511,1,red,T
2513,1,red,T
2514,1,red,T
2516,1,red,T
2517,1,red,T
2527,1,red,T
2528,1,red,T
2530,1,red,T
2531,1,red,T
2533,1,red,T
2535,1,red,T
2536,1,red,T
2538,1,red,T
2540,1,red,T
2542,1,red,T
2546,1,red,T
2547,1,red,T
2548,1,red,T
2549,1,red,T
2551,1,red,T
2552,1,red,T
2553,1,red,T
2556,1,red,T
2558,1,red,T
2559,1,red,T
2560,1,red,T
2561,1,red,T
2563,1,red,T
2564,1,red,T
2566,1,red,T
2567,1,red,T
2568,1,red,T
2570,1,red,T
2571,1,red,T
2574,1,red,T
2575,1,red,T
2576,1,red,T
2577,1,red,T
2578,1,red,T
2582,1,red,T
2584,1,red,T
2586,1,red,T
2589,1,red,T
2590,1,red,T
2592,1,red,T
2594,1,red,T
2595,1,red,T
2596,1,red,T
2597,1,red,T
2599,1,red,T
2600,1,red,T
2604,1,red,T
2605,1,red,T
2606,1,red,T
2607,1,red,T
2608,1,red,T
2609,1,red,T
2610,1,red,T
2611,1,red,T
2614,1,red,T
2618,1,red,T
2619,1,red,T
2621,1,red,T
2623,1,red,T
2625,1,red,T
2629,1,red,T
2630,1,red,T
2631,1,red,T
2634,1,red,T
2635,1,red,T
2636,1,red,T
2637,1,red,T
2638,1,red,T
2641,1,red,T
2642,1,red,T
2643,1,red,T
2644,1,red,T
2647,1,red,T
2650,1,red,T
2651,1,red,T
2652,1,red,T
2653,1,red,T
2654,1,red,T
2658,1,red,T
2661,1,red,T
2663,1,red,T
2665,1,red,T
2666,1,red,T
2669,1,red,T
2671,1,red,T
2672,1,red,T
2674,1,red,T
2675,1,red,T
2678,1,red,T
2680,1,red,T
2681,1,red,T
2682,1,red,T
2683,1,red,T
2684,1,red,T
2686,1,red,T
2687,1,red,T
2688,1,red,T
2689,1,red,T
2692,1,red,T
2694,1,red,T
2696,1,red,T
2697,1,red,T
2698,1,red,T
2702,1,red,T
2706,1,red,T
2707,1,red,T
2709,1,red,T
2710,1,red,T
2712,1,red,T
2713,1,red,T
2716,1,red,T
2718,1,red,T
2719,1,red,T
2720,1,red,T
2721,1,red,T
2724,1,red,T
2725,1,red,T
2726,1,red,T
2727,1,red,T
2730,1,red,T
2731,1,red,T
2732,1,red,T
2733,1,red,T
2740,1,red,T
2748,1,red,T
2749,1,red,T
2757,1,red,T
2758,1,red,T
2759,1,red,T
2764,1,red,T
2766,1,red,T
2768,1,red,T
2769,1,red,T
2771,1,red,T
2773,1,red,T
2774,1,red,T
2776,1,red,T
2777,1,red,T
2779,1,red,T
2783,1,red,T
2785,1,red,T
2787,1,red,T
2789,1,red,T
2791,1,red,T
2792,1,red,T
2798,1,red,T
2802,1,red,T
2804,1,red,T
2806,1,red,T
2807,1,red,T
2810,1,red,T
2811,1,red,T
2812,1,red,T
2814,1,red,T
2817,1,red,T
2818,1,red,T
2819,1,red,T
2823,1,red,T
2824,1,red,T
2830,1,red,T
2831,1,red,T
2832,1,red,T
2833,1,red,T
2834,1,red,T
2835,1,red,T
2838,1,red,T
2839,1,red,T
2843,1,red,T
2846,1,red,T
2847,1,red,T
2848,1,red,T
2851,1,red,T
2852,1,red,T
2853,1,red,T
