SubjID,BlockNr,Sequence,Trial,Stability,MeanSize,MeanSizeDeg,SetSize,BuildOrTest,TargetOri,Response,ACC,RT,training
1,5,58,1,2,111,3,30,0,45,45,1,3564.57,0
1,5,58,2,2,111,3,30,0,-45,-45,1,3707.09,0
1,5,58,3,2,111,3,30,0,-45,-45,1,6863.15,0
1,5,58,4,2,92.5,2.5,30,1,45,45,1,2393.78,0
1,5,58,5,2,55.5,1.5,30,1,-45,-45,1,2215.25,0
1,5,58,6,2,74,2,30,1,-45,-45,1,2663.72,0
1,5,59,1,1,111,3,10,0,-45,-45,1,2663.9,0
1,5,59,2,1,111,3,10,0,-45,-45,1,1652.33,0
1,5,59,3,1,111,3,10,0,-45,-45,1,2393.82,0
1,5,59,4,1,111,3,10,1,45,45,1,4034,0
1,5,59,5,1,111,3,10,1,-45,-45,1,2775.01,0
1,5,59,6,1,111,3,10,1,-45,-45,1,2559.54,0
1,5,60,1,1,92.5,2.5,20,0,-45,-45,1,880.79,0
1,5,60,2,1,92.5,2.5,20,0,-45,-45,1,834.96,0
1,5,60,3,1,92.5,2.5,20,0,45,45,1,879.16,0
1,5,60,4,1,92.5,2.5,20,1,-45,-45,1,2605.53,0
1,5,60,5,1,92.5,2.5,20,1,-45,-45,1,832.65,0
1,5,60,6,1,92.5,2.5,20,1,-45,-45,1,3442.2,0
1,6,61,1,2,55.5,1.5,30,0,45,45,1,3547.87,0
1,6,61,2,2,55.5,1.5,30,0,45,45,1,2283.83,0
1,6,61,3,2,55.5,1.5,30,0,-45,-45,1,1137.45,0
1,6,61,4,2,92.5,2.5,30,1,-45,-45,1,794.51,0
1,6,61,5,2,111,3,30,1,-45,-45,1,6117.58,0
1,6,61,6,2,74,2,30,1,45,45,1,14009.26,0
1,6,62,1,1,74,2,30,0,-45,-45,1,3341.45,0
1,6,62,2,1,74,2,30,0,45,45,1,4390.64,0
1,6,62,3,1,74,2,30,0,45,45,1,1104.87,0
1,6,62,4,1,74,2,30,1,45,45,1,2139.34,0
1,6,62,5,1,74,2,30,1,45,45,1,2471.78,0
1,6,62,6,1,74,2,30,1,45,45,1,4295.33,0
1,6,63,1,1,111,3,10,0,45,45,1,2825.46,0
1,6,63,2,1,111,3,10,0,-45,-45,1,1040.24,0
