"expName","subjectId","subjectGender","subjectAge","session","block","trial","targetOri","targetPos","distrMean","dtype","dsd","targetDist","t_dist_to_prev_d","answer","correctAnswer","rt","correct","prev_correct"
"distr_stats",1,"F",26,1,27,"4",83,26,14,"norm",5,69,89,"j","j",811.381946763,1,1
"distr_stats",1,"F",26,1,28,"0",148,34,74,"norm",15,74,-46,"i","i",1701.4126843,1,1
"distr_stats",1,"F",26,1,28,"1",148,18,74,"norm",15,74,-46,"j","j",655.539761363,1,1
"distr_stats",1,"F",26,1,28,"2",148,1,74,"norm",15,74,-46,"i","j",701.7982423,0,1
"distr_stats",1,"F",26,1,28,"3",148,18,74,"norm",15,74,-46,"j","j",560.956226474,1,0
"distr_stats",1,"F",26,1,28,"4",148,35,74,"norm",15,74,-46,"i","i",795.364778722,1,1
"distr_stats",1,"F",26,1,28,"5",148,35,74,"norm",15,74,-46,"i","i",1123.62546591,1,1
"distr_stats",1,"F",26,1,28,"6",148,10,74,"norm",15,74,-46,"i","i",1185.93458346,1,1
"distr_stats",1,"F",26,1,29,"0",47,22,154,"norm",10,73,-27,"j","i",1248.9773322,0,1
"distr_stats",1,"F",26,1,29,"1",47,16,154,"norm",10,73,-27,"i","i",498.555181898,1,0
"distr_stats",1,"F",26,1,29,"2",47,28,154,"norm",10,73,-27,"i","i",686.233569408,1,1
"distr_stats",1,"F",26,1,29,"3",47,10,154,"norm",10,73,-27,"i","i",717.849771412,1,1
"distr_stats",1,"F",26,1,29,"4",47,14,154,"norm",10,73,-27,"i","j",2018.62115516,0,1
"distr_stats",1,"F",26,1,30,"0",88,25,154,"norm",5,-66,-66,"j","j",737.672985931,1,0
"distr_stats",1,"F",26,1,30,"1",88,10,154,"norm",5,-66,-66,"i","i",624.127494549,1,1
"distr_stats",1,"F",26,1,30,"2",88,28,154,"norm",5,-66,-66,"i","i",530.216901165,1,1
"distr_stats",1,"F",26,1,30,"3",88,17,154,"norm",5,-66,-66,"i","i",545.694555759,1,1
"distr_stats",1,"F",26,1,30,"4",88,20,154,"norm",5,-66,-66,"j","j",1029.98172864,1,1
"distr_stats",1,"F",26,1,30,"5",88,16,154,"norm",5,-66,-66,"i","i",592.720136461,1,1
"distr_stats",1,"F",26,1,30,"6",88,8,154,"norm",5,-66,-66,"j","j",529.600186869,1,1
"distr_stats",1,"F",26,1,31,"0",117,16,14,"norm",10,-77,-37,"i","i",592.588047147,1,1
"distr_stats",1,"F",26,1,31,"1",117,16,14,"norm",10,-77,-37,"i","i",545.602182489,1,1
