subjnr;rho;T_present;response;correct;ort1;ort2;ort3;ort4
1;0;0;1;0;7,568440266;5,349040303;-9,734924405;17,33247167
1;0;1;1;1;0;-3,197477247;-8,171076002;-2,005598571
1;0;1;0;0;0;0,91148161;-11,89954049;7,535500015
1;0;0;1;0;3,606434163;-18,09038753;34,69895916;-5,67467017
1;0;0;1;0;19,1021222;6,652995498;8,097247822;-17,45122072
1;0;1;1;1;31,52209819;0;23,68893318;13,11063522
1;0;0;1;0;-3,009659955;-41,62340042;4,885294844;-45,42587357
1;0;1;1;1;30,13276356;0;-1,350450102;-11,21057155
1;0;0;0;1;-8,980405305;-13,40492974;16,89415434;5,548754599
1;0;0;1;0;6,827509542;-1,898208901;4,507632591;2,13290849
1;0;0;1;0;5,579907576;4,848185707;12,94721084;13,66016004
1;0;1;0;0;-21,3285787;-26,32963568;0;-12,28014591
1;0;0;1;0;14,04200172;-4,998290803;1,304407416;-10,16972447
1;0;0;1;0;4,649535451;13,41841708;24,32384486;-0,725228651
1;0;1;1;1;-6,867521529;32,80476505;2,082242049;0
1;0;0;1;0;-0,796188934;3,130684004;4,935632609;-10,72105196
1;0;0;1;0;4,185071355;-5,535921335;0,182273483;-10,55006563
1;0;0;1;0;3,722938782;-3,670302929;19,48478787;2,533476026
1;0;1;1;1;2,513843432;0,929474799;3,575587613;0
1;0;0;0;1;5,932882449;14,82394242;-17,4004429;-18,11411216
1;0;0;0;1;-4,792857004;-8,40955013;-9,284620987;-10,39013957
1;0;0;0;1;11,80395352;-12,80162496;-9,38413752;25,10731659
1;0;0;0;1;-1,53695588;-15,20157609;10,87822723;-7,387868085
1;0;1;0;0;-8,412084167;-9,852237446;0;8,834854426
1;0;1;0;0;-14,25269844;-16,28326557;0;-17,57910734
1;0;0;0;1;2,307716367;-1,579588382;-27,7403646;-6,041229577
1;0;0;1;0;0,199689763;9,91801627;12,55640725;10,35790134
1;0;1;1;1;9,766523816;-25,29788337;11,50586873;0
1;0;1;1;1;-2,313635444;27,90735237;0;6,488318215
1;0;1;0;0;-2,445406725;0;-1,039155123;-18,23094565
1;0;1;0;0;-21,05927133;0;9,885483625;-8,158814936
1;0;0;0;1;0,93523321;-33,29433493;2,327436802;12,11138773
1;0;0;1;0;-7,336864434;1,33652447;10,45816703;-6,999485984
1;0;1;0;0;13,1162108;0;-0,613182057;-24,1985841
1;0;1;1;1;-2,559894548;26,21964554;0;-26,14732268
1;0;1;1;1;11,2006712;2,085024424;-7,592605764;0
1;0;0;0;1;-0,127349775;17,90556279;8,287406274;-22,09436015
1;0;0;1;0;-11,90755351;-0,385734207;6,787750407;2,204789841
1;0;1;0;0;0;-0,414133673;29,82869588;4,54487411
1;0;1;1;1;28,29278613;-2,236481639;0;-1,873083377
1;0;1;0;0;4,618053872;-0,808250825;9,821749088;0
1;0;1;1;1;-7,092070974;-2,454112143;2,084838945;0
1;0;1;1;1;-6,640521333;3,180160449;11,26577643;0
1;0;1;0;0;2,78947213;0;-33,8287711;16,52868402
1;0;0;1;0;-20,55555511;-13,55830056;10,97858473;30,27457997
1;0;1;1;1;-8,664283165;2,073249091;5,486484318;0
