manip,subject,session,order,mm,tm,trialType,iti,fixDur,stimDur,nBlock,nTrial,alpha,present,targType,nItems,resp,acc,rt,confidence,estNItems,estTime,confidenceRT,estNItemsRT,estTimeRT,RecRT,Erreur,REC,Rec2Type,RecRT2,Rec2,couleur,training,task,trialId
vs12,amelie,4,4,09Nov2011,1033,mixed,500,552,8000,1,32,4.10632772706,1,L,16,a,1,3052,,,,,,,,,,C,1464,6,Rouge,0,L among T,80
vs12,amelie,4,4,09Nov2011,1034,mixed,500,588,8000,1,33,3.96968496445,1,L,16,a,1,5736,,,,,,,,,,C,1645,7,Rouge,0,L among T,81
vs12,amelie,4,4,09Nov2011,1034,mixed,500,600,8000,1,34,2.76552500358,0,X,16,z,1,1451,,,,,,,,,,A,1032,2,Vert,0,X among T,82
vs12,amelie,4,4,09Nov2011,1034,mixed,500,679,8000,1,35,3.09556645248,0,X,4,a,1,601,,,,,,,,,,A,1550,1,Rouge,0,X among T,83
vs12,amelie,4,4,09Nov2011,1034,mixed,500,580,8000,1,36,3.97380565143,0,L,4,z,1,1799,,,,,,,,,,A,1700,3,Vert,0,L among T,84
vs12,amelie,4,4,09Nov2011,1034,mixed,500,442,8000,1,37,0.355550403795,1,X,16,a,1,718,,,,,,,,,,A,4312,1,Rouge,0,X among T,85
vs12,amelie,4,4,09Nov2011,1034,mixed,500,594,8000,1,38,5.8562446537,0,L,16,z,1,3884,,,,,,,,,,C,1101,7,Vert,0,L among T,86
vs12,amelie,4,4,09Nov2011,1034,mixed,500,650,8000,1,39,5.75913711347,1,L,8,z,1,1483,,,,,,,,,,B,2266,4,Vert,0,L among T,87
vs12,amelie,4,4,09Nov2011,1034,mixed,500,618,8000,1,40,3.59763473696,1,L,8,z,1,985,,,,,,,,,,A,1067,1,Vert,0,L among T,88
vs12,amelie,4,4,09Nov2011,1034,mixed,500,634,8000,1,41,6.06189035068,0,L,16,z,1,1464,,,,,,,,,,A,834,3,Vert,0,L among T,89
vs12,amelie,4,4,09Nov2011,1034,mixed,500,513,8000,1,42,2.10689585996,1,X,16,a,1,1168,,,,,,,,,,A,1417,3,Rouge,0,X among T,90
vs12,amelie,4,4,09Nov2011,1034,mixed,500,562,8000,1,43,5.34488318093,1,L,4,a,1,1268,,,,,,,,,,A,1233,3,Rouge,0,L among T,91
vs12,amelie,4,4,09Nov2011,1034,mixed,500,689,8000,1,44,0.0971515363843,0,X,4,z,1,883,,,,,,,,,,A,1867,1,Vert,0,X among T,92
vs12,amelie,4,4,09Nov2011,1034,mixed,500,538,8000,1,45,6.2104248248,1,L,4,z,1,1051,,,,,,,,,,A,1150,2,Vert,0,L among T,93
vs12,amelie,4,4,09Nov2011,1034,mixed,500,468,8000,1,46,3.58384334915,0,L,16,a,1,1795,,,,,,,,,,A,1399,3,Rouge,0,L among T,94
vs12,amelie,4,4,09Nov2011,1034,mixed,500,587,8000,1,47,1.96653469636,1,X,8,a,1,1034,,,,,,,,,,A,1066,1,Rouge,0,X among T,95
vs12,amelie,4,4,09Nov2011,1034,mixed,500,521,8000,1,48,4.01508249821,0,X,16,a,1,752,,,,,,,,,,A,900,1,Rouge,0,X among T,96
vs12,amelie,4,4,09Nov2011,1035,mixed,500,509,8000,1,49,2.42549069579,1,X,4,z,1,801,,,,,,,,,,A,934,1,Vert,0,X among T,97
vs12,amelie,4,4,09Nov2011,1035,mixed,500,444,8000,1,50,5.10185348803,0,X,8,a,0,467,,,,,,,,,,A,1700,2,Vert,0,X among T,98
vs12,amelie,4,4,09Nov2011,1035,mixed,500,546,8000,1,51,2.6909983923,0,X,4,a,1,1551,,,,,,,,,,A,1930,1,Rouge,0,X among T,99
vs12,amelie,4,4,09Nov2011,1035,mixed,500,576,8000,1,52,1.69691175557,0,L,8,a,1,2084,,,,,,,,,,B,1466,4,Rouge,0,L among T,100
vs12,amelie,4,4,09Nov2011,1035,mixed,500,546,8000,1,53,2.53947805768,1,X,16,a,1,1169,,,,,,,,,,A,1381,2,Rouge,0,X among T,101
vs12,amelie,4,4,09Nov2011,1035,mixed,500,645,8000,1,54,2.029037185,0,L,8,z,1,3050,,,,,,,,,,B,1866,4,Vert,0,L among T,102
vs12,amelie,4,4,09Nov2011,1035,mixed,500,558,8000,1,55,4.8134629186,0,X,8,z,1,784,,,,,,,,,,A,1063,1,Vert,0,X among T,103
vs12,amelie,4,4,09Nov2011,1035,mixed,500,442,8000,1,56,2.22479977219,0,L,4,a,1,1934,,,,,,,,,,C,1266,6,Rouge,0,L among T,104
vs12,amelie,4,4,09Nov2011,1035,mixed,500,434,8000,1,57,2.92306787437,0,L,8,z,1,1468,,,,,,,,,,B,1234,4,Vert,0,L among T,105
vs12,amelie,4,4,09Nov2011,1035,mixed,500,586,8000,1,58,3.79597476746,0,L,16,z,1,3668,,,,,,,,,,C,984,6,Vert,0,L among T,106
vs12,amelie,4,4,09Nov2011,1035,mixed,500,446,8000,1,59,0.527492381647,0,X,8,a,1,917,,,,,,,,,,A,1281,1,Rouge,0,X among T,107
vs12,amelie,4,4,09Nov2011,1035,mixed,500,552,8000,1,60,4.74666567783,0,L,16,a,1,5034,,,,,,,,,,B,1100,5,Rouge,0,L among T,108
vs12,amelie,4,4,09Nov2011,1036,mixed,500,461,8000,2,1,4.53022617224,1,X,8,a,1,1685,,,,,,,,,,A,1383,0,Rouge,0,X among T,109
vs12,amelie,4,4,09Nov2011,1036,mixed,500,475,8000,2,2,5.29015458317,1,L,8,a,1,1185,,,,,,,,,,A,895,2,Rouge,0,L among T,110
vs12,amelie,4,4,09Nov2011,1036,mixed,500,567,8000,2,3,4.02789231726,1,X,8,a,1,1384,,,,,,,,,,A,1283,1,Rouge,0,X among T,111
vs12,amelie,4,4,09Nov2011,1036,mixed,500,651,8000,2,4,6.16206371299,1,L,16,z,1,1751,,,,,,,,,,B,901,4,Vert,0,L among T,112
vs12,amelie,4,4,09Nov2011,1036,mixed,500,433,8000,2,5,1.49436841955,0,L,8,z,1,1765,,,,,,,,,,B,1000,4,Vert,0,L among T,113
vs12,amelie,4,4,09Nov2011,1036,mixed,500,554,8000,2,6,4.85314583436,0,X,4,a,1,835,,,,,,,,,,A,750,2,Rouge,0,X among T,114
vs12,amelie,4,4,09Nov2011,1036,mixed,500,571,8000,2,7,0.723359936252,0,L,8,a,1,1251,,,,,,,,,,A,1118,1,Rouge,0,L among T,115
vs12,amelie,4,4,09Nov2011,1036,mixed,500,594,8000,2,8,3.0366256165,0,L,4,a,1,1267,,,,,,,,,,A,1134,2,Rouge,0,L among T,116
vs12,amelie,4,4,09Nov2011,1036,mixed,500,511,8000,2,9,3.27772289375,0,L,4,z,1,1283,,,,,,,,,,A,1083,3,Vert,0,L among T,117
vs12,amelie,4,4,09Nov2011,1036,mixed,500,478,8000,2,10,1.84165801166,0,X,4,a,1,901,,,,,,,,,,A,1066,1,Rouge,0,X among T,118
vs12,amelie,4,4,09Nov2011,1036,mixed,500,672,8000,2,11,1.95816025598,1,L,16,a,1,2918,,,,,,,,,,B,2650,4,Rouge,0,L among T,119
vs12,amelie,4,4,09Nov2011,1036,mixed,500,481,8000,2,12,4.79116977186,1,X,4,z,1,997,,,,,,,,,,A,1067,1,Vert,0,X among T,120
vs12,amelie,4,4,09Nov2011,1036,mixed,500,648,8000,2,13,2.61700527927,1,X,16,a,1,1169,,,,,,,,,,A,983,3,Rouge,0,X among T,121
vs12,amelie,4,4,09Nov2011,1036,mixed,500,452,8000,2,14,3.87190225875,1,L,8,z,1,1834,,,,,,,,,,A,1245,3,Vert,0,L among T,122
vs12,amelie,4,4,09Nov2011,1036,mixed,500,558,8000,2,15,4.36519799812,0,L,8,a,1,1068,,,,,,,,,,A,1250,2,Rouge,0,L among T,123
vs12,amelie,4,4,09Nov2011,1037,mixed,500,538,8000,2,16,1.90246669533,1,L,4,z,1,2167,,,,,,,,,,B,1200,4,Vert,0,L among T,124
vs12,amelie,4,4,09Nov2011,1037,mixed,500,616,8000,2,17,0.256398221829,0,X,4,a,1,701,,,,,,,,,,A,801,1,Rouge,0,X among T,125
vs12,amelie,4,4,09Nov2011,1037,mixed,500,699,8000,2,18,3.14241134535,1,L,16,z,1,2568,,,,,,,,,,B,1266,4,Vert,0,L among T,126
vs12,amelie,4,4,09Nov2011,1037,mixed,500,618,8000,2,19,5.97717133881,1,X,8,a,1,800,,,,,,,,,,A,749,1,Rouge,0,X among T,127
vs12,amelie,4,4,09Nov2011,1037,mixed,500,416,8000,2,20,0.0832484305819,1,X,16,a,1,836,,,,,,,,,,A,533,1,Rouge,0,X among T,128
vs12,amelie,4,4,09Nov2011,1037,mixed,500,519,8000,2,21,1.92510588176,0,L,4,z,1,1084,,,,,,,,,,A,967,3,Vert,0,L among T,129
vs12,amelie,4,4,09Nov2011,1037,mixed,500,650,8000,2,22,5.19526016459,0,L,16,a,1,1351,,,,,,,,,,A,645,2,Rouge,0,L among T,130
vs12,amelie,4,4,09Nov2011,1037,mixed,500,510,8000,2,23,4.77910537523,0,X,4,z,1,766,,,,,,,,,,A,1184,3,Vert,0,X among T,131
vs12,amelie,4,4,09Nov2011,1037,mixed,500,535,8000,2,24,1.2032877703,0,L,4,a,1,850,,,,,,,,,,A,1116,1,Rouge,0,L among T,132
vs12,amelie,4,4,09Nov2011,1037,mixed,500,565,8000,2,25,2.09521658823,1,L,4,z,1,884,,,,,,,,,,A,818,3,Vert,0,L among T,133
vs12,amelie,4,4,09Nov2011,1037,mixed,500,673,8000,2,26,2.12312693406,0,L,16,a,1,3085,,,,,,,,,,B,1483,5,Rouge,0,L among T,134
vs12,amelie,4,4,09Nov2011,1037,mixed,500,427,8000,2,27,5.05123629382,0,X,8,a,1,1134,,,,,,,,,,A,1480,0,Rouge,0,X among T,135
vs12,amelie,4,4,09Nov2011,1037,mixed,500,568,8000,2,28,3.41759846889,0,L,16,a,1,2852,,,,,,,,,,A,2033,0,Rouge,0,L among T,136
