manip subject session order mm tm trialType iti fixDur stimDur nBlock nTrial alpha present targType nItems resp acc rt confidence estNItems estTime confidenceRT estNItemsRT estTimeRT RecRT Erreur REC Rec2Type RecRT2 Rec2 couleur
vs12 amelie 4 4 09Nov2011 1034 mixed 500 650 8000 1 39 5.75913711347 True L 8 z 1 1483 None None None None None None None None None B 2266 4 Vert
vs12 amelie 4 4 09Nov2011 1034 mixed 500 618 8000 1 40 3.59763473696 True L 8 z 1 985 None None None None None None None None None A 1067 1 Vert
vs12 amelie 4 4 09Nov2011 1034 mixed 500 634 8000 1 41 6.06189035068 False L 16 z 1 1464 None None None None None None None None None A 834 3 Vert
vs12 amelie 4 4 09Nov2011 1034 mixed 500 513 8000 1 42 2.10689585996 True X 16 a 1 1168 None None None None None None None None None A 1417 3 Rouge
vs12 amelie 4 4 09Nov2011 1034 mixed 500 562 8000 1 43 5.34488318093 True L 4 a 1 1268 None None None None None None None None None A 1233 3 Rouge
vs12 amelie 4 4 09Nov2011 1034 mixed 500 689 8000 1 44 0.0971515363843 False X 4 z 1 883 None None None None None None None None None A 1867 1 Vert
vs12 amelie 4 4 09Nov2011 1034 mixed 500 538 8000 1 45 6.2104248248 True L 4 z 1 1051 None None None None None None None None None A 1150 2 Vert
vs12 amelie 4 4 09Nov2011 1034 mixed 500 468 8000 1 46 3.58384334915 False L 16 a 1 1795 None None None None None None None None None A 1399 3 Rouge
vs12 amelie 4 4 09Nov2011 1034 mixed 500 587 8000 1 47 1.96653469636 True X 8 a 1 1034 None None None None None None None None None A 1066 1 Rouge
vs12 amelie 4 4 09Nov2011 1034 mixed 500 521 8000 1 48 4.01508249821 False X 16 a 1 752 None None None None None None None None None A 900 1 Rouge
vs12 amelie 4 4 09Nov2011 1035 mixed 500 509 8000 1 49 2.42549069579 True X 4 z 1 801 None None None None None None None None None A 934 1 Vert
vs12 amelie 4 4 09Nov2011 1035 mixed 500 444 8000 1 50 5.10185348803 False X 8 a 0 467 None None None None None None None None None A 1700 2 Vert
vs12 amelie 4 4 09Nov2011 1035 mixed 500 546 8000 1 51 2.6909983923 False X 4 a 1 1551 None None None None None None None None None A 1930 1 Rouge
vs12 amelie 4 4 09Nov2011 1035 mixed 500 576 8000 1 52 1.69691175557 False L 8 a 1 2084 None None None None None None None None None B 1466 4 Rouge
vs12 amelie 4 4 09Nov2011 1035 mixed 500 546 8000 1 53 2.53947805768 True X 16 a 1 1169 None None None None None None None None None A 1381 2 Rouge
vs12 amelie 4 4 09Nov2011 1035 mixed 500 645 8000 1 54 2.029037185 False L 8 z 1 3050 None None None None None None None None None B 1866 4 Vert
vs12 amelie 4 4 09Nov2011 1035 mixed 500 558 8000 1 55 4.8134629186 False X 8 z 1 784 None None None None None None None None None A 1063 1 Vert
vs12 amelie 4 4 09Nov2011 1035 mixed 500 442 8000 1 56 2.22479977219 False L 4 a 1 1934 None None None None None None None None None C 1266 6 Rouge
vs12 amelie 4 4 09Nov2011 1035 mixed 500 434 8000 1 57 2.92306787437 False L 8 z 1 1468 None None None None None None None None None B 1234 4 Vert
vs12 amelie 4 4 09Nov2011 1035 mixed 500 586 8000 1 58 3.79597476746 False L 16 z 1 3668 None None None None None None None None None C 984 6 Vert
vs12 amelie 4 4 09Nov2011 1035 mixed 500 446 8000 1 59 0.527492381647 False X 8 a 1 917 None None None None None None None None None A 1281 1 Rouge
vs12 amelie 4 4 09Nov2011 1035 mixed 500 552 8000 1 60 4.74666567783 False L 16 a 1 5034 None None None None None None None None None B 1100 5 Rouge
vs12 amelie 4 4 09Nov2011 1036 mixed 500 461 8000 2 1 4.53022617224 True X 8 a 1 1685 None None None None None None None None None A 1383 0 Rouge
vs12 amelie 4 4 09Nov2011 1036 mixed 500 475 8000 2 2 5.29015458317 True L 8 a 1 1185 None None None None None None None None None A 895 2 Rouge
vs12 amelie 4 4 09Nov2011 1036 mixed 500 567 8000 2 3 4.02789231726 True X 8 a 1 1384 None None None None None None None None None A 1283 1 Rouge
vs12 amelie 4 4 09Nov2011 1036 mixed 500 651 8000 2 4 6.16206371299 True L 16 z 1 1751 None None None None None None None None None B 901 4 Vert
vs12 amelie 4 4 09Nov2011 1036 mixed 500 433 8000 2 5 1.49436841955 False L 8 z 1 1765 None None None None None None None None None B 1000 4 Vert
vs12 amelie 4 4 09Nov2011 1036 mixed 500 554 8000 2 6 4.85314583436 False X 4 a 1 835 None None None None None None None None None A 750 2 Rouge
vs12 amelie 4 4 09Nov2011 1036 mixed 500 571 8000 2 7 0.723359936252 False L 8 a 1 1251 None None None None None None None None None A 1118 1 Rouge
vs12 amelie 4 4 09Nov2011 1036 mixed 500 594 8000 2 8 3.0366256165 False L 4 a 1 1267 None None None None None None None None None A 1134 2 Rouge
vs12 amelie 4 4 09Nov2011 1036 mixed 500 511 8000 2 9 3.27772289375 False L 4 z 1 1283 None None None None None None None None None A 1083 3 Vert
vs12 amelie 4 4 09Nov2011 1036 mixed 500 478 8000 2 10 1.84165801166 False X 4 a 1 901 None None None None None None None None None A 1066 1 Rouge
vs12 amelie 4 4 09Nov2011 1036 mixed 500 672 8000 2 11 1.95816025598 True L 16 a 1 2918 None None None None None None None None None B 2650 4 Rouge
vs12 amelie 4 4 09Nov2011 1036 mixed 500 481 8000 2 12 4.79116977186 True X 4 z 1 997 None None None None None None None None None A 1067 1 Vert
vs12 amelie 4 4 09Nov2011 1036 mixed 500 648 8000 2 13 2.61700527927 True X 16 a 1 1169 None None None None None None None None None A 983 3 Rouge
vs12 amelie 4 4 09Nov2011 1036 mixed 500 452 8000 2 14 3.87190225875 True L 8 z 1 1834 None None None None None None None None None A 1245 3 Vert
vs12 amelie 4 4 09Nov2011 1036 mixed 500 558 8000 2 15 4.36519799812 False L 8 a 1 1068 None None None None None None None None None A 1250 2 Rouge
vs12 amelie 4 4 09Nov2011 1037 mixed 500 538 8000 2 16 1.90246669533 True L 4 z 1 2167 None None None None None None None None None B 1200 4 Vert
vs12 amelie 4 4 09Nov2011 1037 mixed 500 616 8000 2 17 0.256398221829 False X 4 a 1 701 None None None None None None None None None A 801 1 Rouge
vs12 amelie 4 4 09Nov2011 1037 mixed 500 699 8000 2 18 3.14241134535 True L 16 z 1 2568 None None None None None None None None None B 1266 4 Vert
vs12 amelie 4 4 09Nov2011 1037 mixed 500 618 8000 2 19 5.97717133881 True X 8 a 1 800 None None None None None None None None None A 749 1 Rouge
vs12 amelie 4 4 09Nov2011 1037 mixed 500 416 8000 2 20 0.0832484305819 True X 16 a 1 836 None None None None None None None None None A 533 1 Rouge
vs12 amelie 4 4 09Nov2011 1037 mixed 500 519 8000 2 21 1.92510588176 False L 4 z 1 1084 None None None None None None None None None A 967 3 Vert
vs12 amelie 4 4 09Nov2011 1037 mixed 500 650 8000 2 22 5.19526016459 False L 16 a 1 1351 None None None None None None None None None A 645 2 Rouge
vs12 amelie 4 4 09Nov2011 1037 mixed 500 510 8000 2 23 4.77910537523 False X 4 z 1 766 None None None None None None None None None A 1184 3 Vert
vs12 amelie 4 4 09Nov2011 1037 mixed 500 535 8000 2 24 1.2032877703 False L 4 a 1 850 None None None None None None None None None A 1116 1 Rouge
vs12 amelie 4 4 09Nov2011 1037 mixed 500 565 8000 2 25 2.09521658823 True L 4 z 1 884 None None None None None None None None None A 818 3 Vert
vs12 amelie 4 4 09Nov2011 1037 mixed 500 673 8000 2 26 2.12312693406 False L 16 a 1 3085 None None None None None None None None None B 1483 5 Rouge
vs12 amelie 4 4 09Nov2011 1037 mixed 500 427 8000 2 27 5.05123629382 False X 8 a 1 1134 None None None None None None None None None A 1480 0 Rouge
vs12 amelie 4 4 09Nov2011 1037 mixed 500 568 8000 2 28 3.41759846889 False L 16 a 1 2852 None None None None None None None None None A 2033 0 Rouge
vs12 amelie 4 4 09Nov2011 1037 mixed 500 544 8000 2 29 2.2448194917 True L 4 z 1 1682 None None None None None None None None None A 1767 2 Vert
vs12 amelie 4 4 09Nov2011 1037 mixed 500 499 8000 2 30 3.68779404322 True X 4 z 1 2167 None None None None None None None None None A 1933 0 Vert
vs12 amelie 4 4 09Nov2011 1037 mixed 500 473 8000 2 31 3.60700807656 False L 8 a 1 1811 None None None None None None None None None A 1267 2 Rouge
vs12 amelie 4 4 09Nov2011 1037 mixed 500 404 8000 2 32 3.74139502717 True X 16 z 1 1535 None None None None None None None None None A 1233 2 Vert
vs12 amelie 4 4 09Nov2011 1038 mixed 500 644 8000 2 33 4.09310345875 False X 8 a 1 1016 None None None None None None None None None A 1285 0 Rouge
vs12 amelie 4 4 09Nov2011 1038 mixed 500 484 8000 2 34 5.46534106244 False X 16 a 1 1068 None None None None None None None None None A 1249 0 Rouge
vs12 amelie 4 4 09Nov2011 1038 mixed 500 458 8000 2 35 0.749786308448 True L 8 z 1 734 None None None None None None None None None A 1750 2 Vert
vs12 amelie 4 4 09Nov2011 1038 mixed 500 639 8000 2 36 1.1254718676 False L 16 a 1 2668 None None None None None None None None None A 2682 3 Rouge
vs12 amelie 4 4 09Nov2011 1038 mixed 500 498 8000 2 37 4.01440198784 True L 16 a 1 4882 None None None None None None None None None C 1433 7 Rouge
vs12 amelie 4 4 09Nov2011 1038 mixed 500 495 8000 2 38 4.69817572322 True X 16 a 1 735 None None None None None None None None None A 1893 0 Rouge
vs12 amelie 4 4 09Nov2011 1038 mixed 500 402 8000 2 39 5.24168308893 False X 16 z 1 702 None None None None None None None None None A 1199 0 Vert
vs12 amelie 4 4 09Nov2011 1038 mixed 500 653 8000 2 40 4.37847048237 False L 4 a 1 1266 None None None None None None None None None A 1649 2 Rouge
vs12 amelie 4 4 09Nov2011 1038 mixed 500 474 8000 2 41 4.88584904169 True X 8 z 1 751 None None None None None None None None None A 1980 0 Vert
vs12 amelie 4 4 09Nov2011 1038 mixed 500 442 8000 2 42 0.354336489897 False X 16 z 1 551 None None None None None None None None None A 1116 0 Vert
vs12 amelie 4 4 09Nov2011 1038 mixed 500 444 8000 2 43 0.642230423748 False L 8 a 1 1867 None None None None None None None None None A 1333 2 Rouge
vs12 amelie 4 4 09Nov2011 1038 mixed 500 680 8000 2 44 0.148204821238 True X 4 z 1 785 None None None None None None None None None A 1267 0 Vert
vs12 amelie 4 4 09Nov2011 1038 mixed 500 499 8000 2 45 3.71740216571 False X 4 z 1 818 None None None None None None None None None A 1984 0 Vert
vs12 amelie 4 4 09Nov2011 1038 mixed 500 685 8000 2 46 2.55755238215 True L 8 z 1 1565 None None None None None None None None None A 1966 2 Vert
vs12 amelie 4 4 09Nov2011 1038 mixed 500 645 8000 2 47 0.761211320633 True L 8 a 1 1751 None None None None None None None None None A 983 2 Rouge
vs12 amelie 4 4 09Nov2011 1038 mixed 500 662 8000 2 48 5.31104745669 True X 4 z 1 1001 None None None None None None None None None A 2295 2 Vert
vs12 amelie 4 4 09Nov2011 1038 mixed 500 557 8000 2 49 3.71394926204 False X 16 a 1 1002 None None None None None None None None None A 1333 0 Rouge
vs12 amelie 4 4 09Nov2011 1039 mixed 500 641 8000 2 50 2.61971869418 True X 16 z 1 752 None None None None None None None None None A 1083 0 Vert
vs12 amelie 4 4 09Nov2011 1039 mixed 500 474 8000 2 51 0.449290106918 True X 8 z 1 668 None None None None None None None None None A 1384 0 Vert
vs12 amelie 4 4 09Nov2011 1039 mixed 500 570 8000 2 52 4.86234848768 False X 16 z 1 619 None None None None None None None None None A 1151 0 Vert
vs12 amelie 4 4 09Nov2011 1039 mixed 500 464 8000 2 53 0.316349920598 True L 16 a 1 1735 None None None None None None None None None A 1465 2 Rouge
vs12 amelie 4 4 09Nov2011 1039 mixed 500 459 8000 2 54 3.93381175589 False X 8 z 1 834 None None None None None None None None None A 1383 0 Vert
vs12 amelie 4 4 09Nov2011 1039 mixed 500 452 8000 2 55 0.650789888042 False X 8 z 1 668 None None None None None None None None None A 1799 0 Vert
vs12 amelie 4 4 09Nov2011 1039 mixed 500 524 8000 2 56 1.0376480439 True X 4 z 1 550 None None None None None None None None None A 1045 0 Vert
vs12 amelie 4 4 09Nov2011 1039 mixed 500 677 8000 2 57 3.00369582937 True L 4 a 1 1250 None None None None None None None None None A 1450 2 Rouge
