manip;subject;session;order;mm;tm;trialType;iti;fixDur;stimDur;nBlock;nTrial;alpha;present;targType;nItems;resp;acc;rt;confidence;estNItems;estTime;confidenceRT;estNItemsRT;estTimeRT;RecRT;Erreur;PostTest;Rec2Type;RecRT2;Rec2;couleur;Prime;CordCible;CordPrime;Yes/No;AV/AP;Diff;PostTest;RECORDING_SESSION_LABEL;AVERAGE_FIXATION_DURATION;AVERAGE_SACCADE_AMPLITUDE;BLINK_COUNT;BUTTON_PRESS_COUNT;FIXATION_COUNT;IP_DURATION;SACCADE_COUNT;;
vs12;am;4;2;08Feb2013;1055;mixed;500;400;2000;7;6;2.50657935985;True;L;4;a;1;347;None;None;None;None;None;None;None;None;None;C;925;7;Rouge;0;4;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1038;mixed;500;400;2000;3;15;5.05045474714;True;L;8;z;1;1012;None;None;None;None;None;None;None;None;None;A;1011;0;Vert;0;6;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1059;mixed;500;400;2000;8;2;0.147122866939;False;X;16;z;1;391;None;None;None;None;None;None;None;None;None;C;658;6;Vert;0;12;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1037;mixed;500;400;2000;3;9;3.16710926275;True;L;4;a;1;839;None;None;None;None;None;None;None;None;None;A;863;1;Rouge;0;3;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1041;mixed;500;400;2000;4;2;5.52659771922;True;X;8;z;1;361;None;None;None;None;None;None;None;None;None;A;1106;1;Vert;0;2;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1025;Ent2;500;400;2000;1;4;5.48708785631;False;X;8;z;1;946;None;None;None;None;None;None;None;None;None;A;2895;3;Vert;0;3;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1041;mixed;500;400;2000;4;4;0.272134568219;True;X;8;z;1;380;None;None;None;None;None;None;None;None;None;A;2230;1;Vert;0;2;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1040;mixed;500;400;2000;3;35;5.52597658171;False;X;8;z;1;410;None;None;None;None;None;None;None;None;None;A;1253;3;Vert;0;2;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1051;mixed;500;400;2000;6;15;3.5146509242;True;X;8;a;1;345;None;None;None;None;None;None;None;None;None;A;1146;1;Rouge;0;6;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1028;mixed;500;400;2000;1;6;5.50886639355;True;L;8;z;1;452;None;None;None;None;None;None;None;None;None;A;2406;2;Vert;0;2;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1052;mixed;500;400;2000;6;28;1.0094367861;False;L;8;z;0;1051;None;None;None;None;None;None;None;None;None;D;989;8;Rouge;0;1;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1037;mixed;500;400;2000;3;6;2.21016726948;True;L;4;z;1;468;None;None;None;None;None;None;None;None;None;A;1331;1;Vert;0;3;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1028;mixed;500;400;2000;1;8;0.911416500894;False;X;8;z;1;892;None;None;None;None;None;None;None;None;None;D;1184;8;Vert;0;7;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1055;mixed;500;400;2000;7;5;2.2129727067;True;X;16;z;1;364;None;None;None;None;None;None;None;None;None;A;2046;3;Vert;0;14;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1035;mixed;500;400;2000;2;36;4.04598219133;False;X;4;z;1;492;None;None;None;None;None;None;None;None;None;A;1641;1;Vert;0;2;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1048;mixed;500;400;2000;5;36;2.6386261273;True;X;4;a;1;462;None;None;None;None;None;None;None;None;None;A;2792;2;Rouge;0;1;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1038;mixed;500;400;2000;3;14;2.75945745061;False;L;16;z;1;502;None;None;None;None;None;None;None;None;None;A;2048;1;Vert;0;12;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1050;mixed;500;400;2000;6;7;2.77788155764;False;L;8;a;1;518;None;None;None;None;None;None;None;None;None;A;3731;3;Rouge;0;1;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1018;Ent1;500;400;2000;1;3;1.24961330774;True;X;4;z;1;323;None;None;None;None;None;None;None;None;None;None;None;None;Vert;0;1;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1056;mixed;500;400;2000;7;12;3.42477133956;True;L;8;z;1;1017;None;None;None;None;None;None;None;None;None;B;968;4;Vert;0;8;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1019;Ent1;500;400;2000;1;2;3.07326760853;False;X;4;a;1;440;None;None;None;None;None;None;None;None;None;None;None;None;Rouge;0;1;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1045;mixed;500;400;2000;5;4;4.01815703031;False;X;8;z;1;349;None;None;None;None;None;None;None;None;None;A;1433;1;Vert;0;6;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
