manip;subject;session;order;mm;tm;trialType;iti;fixDur;stimDur;nBlock;nTrial;alpha;present;targType;nItems;resp;acc;rt;confidence;estNItems;estTime;confidenceRT;estNItemsRT;estTimeRT
vs12;benlakhal;1;0;13Dec2010;1401;serial;500;689;200;3;6;0.933848903;True;L;12;z;1;527;9;2;332;8328;6987;15458
vs12;benlakhal;1;0;13Dec2010;1401;serial;500;658;200;3;7;1.324362253;False;L;8;z;0;443;8;2;376;3366;1808;6983
vs12;benlakhal;1;0;13Dec2010;1401;serial;500;657;200;3;8;5.989069877;False;L;4;z;0;342;6;2;338;2550;1264;6882
vs12;benlakhal;1;0;13Dec2010;1402;serial;500;531;200;3;9;1.659620921;False;L;8;z;0;342;8;1;397;2079;1021;3237
vs12;benlakhal;1;0;13Dec2010;1402;serial;500;532;200;3;10;3.28332112;False;L;2;z;0;425;9;1;308;16393;15339;18382
vs12;benlakhal;1;0;13Dec2010;1402;serial;500;557;200;3;11;0.470556529;True;L;8;z;1;671;9;5;418;1593;4361;10211
vs12;benlakhal;1;0;13Dec2010;1402;serial;500;575;200;3;12;1.02471867;False;L;12;z;0;1129;4;1;351;7470;8542;9957
vs12;benlakhal;1;0;13Dec2010;1403;serial;500;584;200;3;13;2.065753003;True;L;8;z;1;355;1;2;376;13429;1565;9915
vs12;benlakhal;1;0;13Dec2010;1403;serial;500;604;200;3;14;2.60298012;True;L;8;z;1;499;9;2;355;2880;1794;5794
vs12;benlakhal;1;0;13Dec2010;1403;serial;500;532;200;3;15;2.937019851;True;L;12;z;1;413;8;3;375;2579;1550;11060
vs12;benlakhal;1;0;13Dec2010;1403;serial;500;447;200;3;16;1.230926421;True;L;2;z;1;413;9;2;368;2151;1365;3080
vs12;benlakhal;1;0;13Dec2010;1403;serial;500;416;200;3;17;3.920767025;True;L;12;z;1;399;9;3;385;2136;1007;5049
vs12;benlakhal;1;0;13Dec2010;1403;serial;500;410;200;3;18;4.639590422;False;L;8;z;0;700;8;2;345;2393;1221;7424
vs12;benlakhal;1;0;13Dec2010;1403;serial;500;658;200;3;19;5.394515794;False;L;2;z;0;4557;9;0;308;2565;5783;7082
vs12;benlakhal;1;0;13Dec2010;1404;serial;500;501;200;3;20;2.940932484;True;L;4;z;1;342;9;1;408;4797;2952;5951
vs12;benlakhal;1;0;13Dec2010;1404;serial;500;614;200;3;21;5.779717725;True;L;8;z;1;513;9;3;333;2036;1149;3007
vs12;benlakhal;1;0;13Dec2010;1404;serial;500;597;200;3;22;5.499297403;False;L;4;z;0;413;8;1;381;2420;1662;3692
vs12;benlakhal;1;0;13Dec2010;1404;serial;500;491;200;3;23;0.413402399;False;L;4;z;0;442;2;1;375;21236;10773;20209
vs12;benlakhal;1;0;13Dec2010;1404;serial;500;552;200;3;24;5.130162757;False;L;2;z;0;428;9;2;393;2207;1436;5923
vs12;benlakhal;1;0;13Dec2010;1404;serial;500;692;200;3;25;1.950526636;False;L;4;z;0;370;9;2;396;2165;1207;3437
vs12;benlakhal;1;0;13Dec2010;1405;serial;500;478;200;3;26;1.475206202;True;L;4;z;1;480;0;1;376;15492;5170;10303
vs12;benlakhal;1;0;13Dec2010;1405;serial;500;561;200;3;27;5.217816915;True;L;12;a;0;385;9;3;426;2036;1336;2880
vs12;benlakhal;1;0;13Dec2010;1405;serial;500;462;200;3;28;4.73479569;False;L;8;z;0;213;8;1;420;3905;2305;3262
vs12;benlakhal;1;0;13Dec2010;1405;serial;500;566;200;3;29;2.995336526;False;L;2;z;0;427;6;1;351;9057;7055;10273
vs12;benlakhal;1;0;13Dec2010;1405;serial;500;660;200;3;30;0.687619877;False;L;4;z;0;514;9;2;386;28958;26012;31504
vs12;benlakhal;1;0;13Dec2010;1406;serial;500;652;200;3;31;2.926085661;True;L;4;z;1;299;8;1;332;2808;1793;3866
vs12;benlakhal;1;0;13Dec2010;1406;serial;500;496;200;3;32;4.62088822;True;L;4;z;1;399;9;1;393;1789;920;2675
vs12;benlakhal;1;0;13Dec2010;1406;serial;500;496;200;3;33;0.980103013;False;L;8;z;0;428;9;1;316;2580;1351;3552
vs12;benlakhal;1;0;13Dec2010;1406;serial;500;700;200;3;34;5.517517381;True;L;4;z;1;325;9;0;312;2981;2180;3938
vs12;benlakhal;1;0;13Dec2010;1406;serial;500;669;200;3;35;0.168756594;True;L;2;z;1;342;9;0;308;3836;2536;5967
vs12;benlakhal;1;0;13Dec2010;1406;serial;500;537;200;3;36;1.171693386;True;L;8;z;1;427;9;1;308;1778;7797;8612
vs12;benlakhal;1;0;13Dec2010;1406;serial;500;545;200;3;37;5.210650174;True;L;12;z;1;385;9;2;313;4147;2147;3033
vs12;benlakhal;1;0;13Dec2010;1406;serial;500;673;200;3;38;3.555371028;False;L;12;z;0;771;9;1;342;9636;7670;8484
vs12;benlakhal;1;0;13Dec2010;1407;serial;500;422;200;3;39;4.61052336;False;L;12;z;0;528;9;2;365;11247;10189;12519
vs12;benlakhal;1;0;13Dec2010;1407;serial;500;476;200;3;40;5.091688819;True;L;2;z;1;456;9;1;367;1545;817;2331
vs12;benlakhal;1;0;13Dec2010;1408;serial;500;672;200;4;1;3.357454953;False;L;12;z;0;370;9;2;340;2562;1347;3819
vs12;benlakhal;1;0;13Dec2010;1408;serial;500;514;200;4;2;1.493047321;False;L;4;z;0;485;1;0;295;2336;1393;3263
vs12;benlakhal;1;0;13Dec2010;1408;serial;500;536;200;4;3;4.390960709;True;L;4;z;1;370;0;1;307;3250;1851;2537
vs12;benlakhal;1;0;13Dec2010;1408;serial;500;453;200;4;4;2.865212129;True;L;12;z;1;484;2;0;262;3676;2034;2748
vs12;benlakhal;1;0;13Dec2010;1408;serial;500;697;200;4;5;5.596886768;True;L;2;z;1;399;10;0;323;3409;1551;4346
vs12;benlakhal;1;0;13Dec2010;1408;serial;500;533;200;4;6;1.660255482;False;L;4;z;0;385;9;1;341;1922;1264;3166
vs12;benlakhal;1;0;13Dec2010;1408;serial;500;648;200;4;7;5.555435726;False;L;2;a;1;370;8;0;316;4937;4179;5651
vs12;benlakhal;1;0;13Dec2010;1409;serial;500;578;200;4;8;5.811074234;True;L;8;a;0;327;9;1;372;2527;3414;5158
vs12;benlakhal;1;0;13Dec2010;1409;serial;500;602;200;4;9;5.429825598;True;L;4;z;1;456;8;0;332;1978;1292;5151
vs12;benlakhal;1;0;13Dec2010;1409;serial;500;487;200;4;10;1.60623279;False;L;8;z;0;342;9;0;405;1979;907;3395
vs12;benlakhal;1;0;13Dec2010;1409;serial;500;461;200;4;11;3.828648556;False;L;8;z;0;399;8;1;323;1692;920;2978
vs12;benlakhal;1;0;13Dec2010;1409;serial;500;527;200;4;12;4.334655524;False;L;2;z;0;1715;9;1;367;1931;3046;4835
vs12;benlakhal;1;0;13Dec2010;1409;serial;500;688;200;4;13;1.044711565;True;L;8;z;1;3401;9;1;352;4223;3379;2438
vs12;benlakhal;1;0;13Dec2010;1409;serial;500;401;200;4;14;4.250053224;True;L;12;z;1;643;4;1;325;2063;1450;2892
vs12;benlakhal;1;0;13Dec2010;1409;serial;500;569;200;4;15;6.175577278;True;L;2;z;1;413;10;1;335;2336;1148;4395
vs12;benlakhal;1;0;13Dec2010;1409;serial;500;433;200;4;16;6.280684934;True;L;4;z;1;298;9;1;343;2264;1349;3107
vs12;benlakhal;1;0;13Dec2010;1409;serial;500;612;200;4;17;2.27469822;True;L;12;z;1;342;9;1;342;2179;1422;3779
vs12;benlakhal;1;0;13Dec2010;1409;serial;500;523;200;4;18;0.397901761;False;L;12;z;0;341;8;1;366;1635;906;2336
vs12;benlakhal;1;0;13Dec2010;1410;serial;500;554;200;4;19;6.000586577;True;L;2;z;1;485;10;1;280;2877;1504;4350
vs12;benlakhal;1;0;13Dec2010;1410;serial;500;438;200;4;20;4.271937889;True;L;12;z;1;370;8;2;372;2779;1764;4347
vs12;benlakhal;1;0;13Dec2010;1410;serial;500;632;200;4;21;4.344784216;False;L;4;z;0;299;9;1;410;1850;1063;2822
vs12;benlakhal;1;0;13Dec2010;1410;serial;500;564;200;4;22;1.855994888;False;L;2;z;0;15601;9;0;356;2577;1436;3679
vs12;benlakhal;1;0;13Dec2010;1410;serial;500;674;200;4;23;4.098624446;False;L;8;z;0;356;9;1;375;1491;834;2492
vs12;benlakhal;1;0;13Dec2010;1410;serial;500;493;200;4;24;3.706937547;False;L;2;z;0;428;0;0;322;2388;1630;3174
