manip,subject,session,order,mm,tm,trialType,iti,fixDur,stimDur,nBlock,nTrial,alpha,present,targType,nItems,resp,acc,rt,confidence,estNItems,estTime,confidenceRT,estNItemsRT,estTimeRT,RecRT,Erreur,Rec2Type,RecRT2,Rec2,couleur,Prime,CordCible,CordPrime,Yes/No,AV/AP,Diff,PostTest,RECORDING_SESSION_LABEL,AVERAGE_FIXATION_DURATION,AVERAGE_SACCADE_AMPLITUDE,BLINK_COUNT,BUTTON_PRESS_COUNT,FIXATION_COUNT,IP_DURATION,SACCADE_COUNT,V48,V49,training,task,trialId
vs12,am,4,2,08Feb2013,1035,mixed,500,400,2000,2,29,3.96261074944,0,X,16,a,0,889,,,,,,,,,D,1895,8,Vert,0,15,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,46
vs12,am,4,2,08Feb2013,1038,mixed,500,400,2000,3,17,2.39100838977,0,L,16,a,1,598,,,,,,,,,C,1773,6,Rouge,0,15,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,47
vs12,am,4,2,08Feb2013,1102,mixed,500,400,2000,8,26,3.19360139345,1,X,8,a,1,1012,,,,,,,,,A,1967,1,Rouge,0,3,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,48
vs12,am,4,2,08Feb2013,1041,mixed,500,400,2000,4,3,6.25212186072,0,L,4,z,1,527,,,,,,,,,A,3026,1,Vert,0,3,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,49
vs12,am,4,2,08Feb2013,1035,mixed,500,400,2000,2,30,2.1565956801,1,L,8,z,1,570,,,,,,,,,A,1498,2,Vert,0,6,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,50
vs12,am,4,2,08Feb2013,1040,mixed,500,400,2000,3,33,5.22290975722,0,X,8,a,1,493,,,,,,,,,A,2082,3,Rouge,0,6,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,51
vs12,am,4,2,08Feb2013,1042,mixed,500,400,2000,4,13,5.87411057832,0,X,8,z,1,422,,,,,,,,,A,3107,1,Vert,0,2,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,52
vs12,am,4,2,08Feb2013,1101,mixed,500,400,2000,8,20,3.30934072839,0,L,8,a,1,423,,,,,,,,,D,642,8,Rouge,0,3,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,53
vs12,am,4,2,08Feb2013,1046,mixed,500,400,2000,5,13,0.504265652017,1,L,8,a,1,1058,,,,,,,,,A,852,1,Rouge,0,7,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,54
vs12,am,4,2,08Feb2013,1046,mixed,500,400,2000,5,17,3.21121703951,0,L,4,a,1,388,,,,,,,,,A,3451,3,Rouge,0,3,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,55
